trial,tsc,delta,low8
661,9059932953598,75359955,254
662,9060003820694,70867096,150
663,9060078632691,74811997,243
664,9060149455280,70822589,176
665,9060218856381,69401101,189
666,9060298249989,79393608,5
667,9060368779461,70529472,197
668,9060439840434,71060973,178
669,9060511486480,71646046,16
670,9060585075830,73589350,118
671,9060675891797,90815967,85
672,9060727077319,51185522,199
673,9060802596272,75518953,176
674,9060875443871,72847599,159
675,9060943870231,68426360,23
676,9061022517539,78647308,35
677,9061089386230,66868691,246
678,9061163204954,73818724,90
679,9061236702876,73497922,156
680,9061308230717,71527841,61
681,9061386496066,78265349,66
682,9061456743358,70247292,190
683,9061530091601,73348243,81
684,9061601301652,71210051,148
685,9061672057202,70755550,114
686,9061747960873,75903671,41
687,9061815745184,67784311,160
688,9061890740835,74995651,99
689,9061965381845,74641010,213
690,9062032167852,66786007,172
691,9062110400439,78232587,183
692,9062183698842,73298403,154
693,9062253626651,69927809,27
694,9062326014882,72388231,162
695,9062397539206,71524324,134
696,9062470953164,73413958,204
697,9062545061308,74108144,188
698,9062618297417,73236109,73
699,9062690291739,71994322,27
700,9062761623147,71331408,107
701,9062836884667,75261520,187
702,9062908751360,71866693,0
703,9062977139100,68387740,156
704,9063049544247,72405147,55
705,9063122513451,72969204,43
706,9063196980739,74467288,3
707,9063266851389,69870650,61
708,9063340654549,73803160,213
709,9063413743518,73088969,158
710,9063485471979,71728461,235
711,9063561799341,76327362,173
712,9063631987275,70187934,75
713,9063703589897,71602622,9
714,9063779608939,76019042,107
715,9063846655044,67046105,68
716,9063923417449,76762405,105
717,9063996121653,72704204,53
718,9064067693505,71571852,193
719,9064138198324,70504819,52
720,9064210166745,71968421,217
721,9064287719338,77552593,170
722,9064357618205,69898867,29
723,9064428548698,70930493,90
724,9064499962097,71413399,241
725,9064571841093,71878996,69
726,9064646969091,75127998,3
727,9064721279845,74310754,101
728,9064791775143,70495298,167
729,9064863036611,71261468,195
730,9064936262165,73225554,21
731,9065009906196,73644031,20
732,9065079868543,69962347,127
733,9065154855945,74987402,9
734,9065226554586,71698641,218
735,9065299698139,73143553,219
736,9065385738849,86040710,97
737,9065442162284,56423435,108
738,9065517963623,75801339,103
739,9065591337858,73374235,130
740,9065660488887,69151029,183
741,9065736046803,75557916,211
742,9065812144406,76097603,22
