trial,tsc,delta,low16,low8
679,93196187022428,72927926,13404,92
680,93196261045700,74023272,46532,196
681,93196326795859,65750159,64083,83
682,93196399247166,72451307,32574,62
683,93196469615768,70368602,15512,152
684,93196543719516,74103748,63580,92
685,93196617170566,73451050,48774,134
686,93196689353322,72182756,10858,106
687,93196759991930,70638608,1658,122
688,93196835039038,75047108,10046,62
689,93196903804096,68765058,27840,192
690,93196978582505,74778409,29673,233
691,93197051353763,72771258,55971,163
692,93197124132056,72778293,23768,216
693,93197193897800,69765744,59208,72
694,93197268691790,74793990,11086,78
695,93197341293130,72601340,64074,74
696,93197415316971,74023841,32235,235
697,93197485640731,70323760,35867,27
698,93197557720814,72080083,26350,238
699,93197632207048,74486234,63688,200
700,93197705108417,72901369,23489,193
701,93197775709216,70600799,42016,32
702,93197849886710,74177494,32758,246
703,93197921767553,71880843,20609,129
704,93197994743346,72975793,54834,50
705,93198065981999,71238653,55855,47
706,93198142214975,76232976,4927,63
707,93198211987764,69772789,47412,52
708,93198284800380,72812616,49532,124
709,93198357814047,73013667,56095,31
710,93198430338818,72524771,32514,2
711,93198500380404,70041586,16116,244
712,93198573984536,73604132,23320,24
713,93198646330992,72346456,18032,112
714,93198719399125,73068133,13525,213
715,93198791899641,72500516,31225,249
716,93198863183090,71283449,11506,242
717,93198944184521,81001431,10441,201
718,93199009088517,64903996,33797,5
719,93199081490684,72402167,18684,252
720,93199154578678,73087994,34038,246
721,93199225518804,70940126,64212,212
722,93199302091802,76572998,25626,26
723,93199371015390,68923588,5342,222
724,93199441009382,69993992,6886,230
725,93199517313784,76304402,27384,248
726,93199592800118,75486334,16246,118
727,93199661636192,68836074,39520,96
728,93199734494516,72858324,21812,52
729,93199807683949,73189433,7533,109
730,93199879505622,71821673,1750,214
731,93199952853540,73347918,14884,36
732,93200023365510,70511970,10118,134
733,93200096423651,73058141,61155,227
734,93200172733220,76309569,21284,36
735,93200243487421,70754201,62141,189
736,93200314492217,71004796,25913,57
737,93200387480084,72987867,6676,20
738,93200461525621,74045537,62069,117
739,93200531616736,70091115,29664,224
740,93200604705028,73088292,45316,4
741,93200677210225,72505197,2161,113
742,93200751349634,74139409,20354,130
743,93200822781332,71431698,17812,148
744,93200900896281,78114949,13849,25
745,93200968456966,67560685,6918,6
746,93201040652038,72195072,46854,6
747,93201113488152,72836114,6936,24
748,93201185790961,72302809,23537,241
749,93201260707485,74916524,32413,157
750,93201330835773,70128288,37181,61
751,93201405629577,74793804,54409,137
752,93201476410271,70780694,56223,159
753,93201548162074,71751803,46106,26
754,93201619835170,71673096,22818,34
755,93201694550582,74715412,27190,54
756,93201765973377,71422795,15745,129
757,93201835687009,69713632,64609,97
758,93201909204418,73517409,50626,194
759,93201982607406,73402988,53294,46
760,93202057107448,74500042,38904,248
761,93202130849635,73742187,53091,99
762,93202200753442,69903807,29986,34
763,93202274035996,73282554,43292,28
764,93202345847947,71811951,27787,139
765,93202420441625,74593678,41497,25
766,93202490357220,69915595,30180,228
767,93202562676654,72319434,63406,174
768,93202638072343,75395689,27159,23
769,93202706581564,68509221,51260,60
770,93202781150035,74568471,39763,83
771,93202852318849,71168814,36481,129
